排名,单词,频次,出现卷数,音标,释义,同义词,例句(英),例句(中),词库来源
38,life,160,52,/laɪf/,n.生命；一生；寿命,existence / living / age / livelihood / subsistence,Learning goes on throughout life.,学习是一生的事。,CET4_2
39,must,159,49,/mʌst/,v.aux必须；必然要,may / shall / ought,All passengers must wear seat belts.,所有乘客都必须系安全带。,CET4_2
40,become,159,51,/bɪ'kʌm/,v.变成；成为，变得,get / fall / come / suit / adapt to something,The weather became warmer.,天气变暖和了。,CET4_2
41,think,154,48,/θɪŋk/,v.想；认为；想起；想像；打算  n.想；想法  adj.思想的,like / imagine / expect / count / guess,I thought I heard something.,我觉得我听到了什么声音。,GaoZhong_2
42,long,152,57,/lɒŋ/,v.渴望,tall / full-bottomed / rare / aspire / chronically,How long will it take to get there?,到那里去要多长时间？,CET4_1
43,bank,152,49,/bæŋk/,v.把钱存入银行,shallow / ford / pile / heap up,Did you bank that check?,你把那张支票存入银行了吗？,CET6_2
44,need,150,50,/niːd/,v.需要  v.aux需要,necessity / shortage / want / do / deficiency,You don’t really need a car.,你其实并不需要一辆车。,CET4_2
45,food,148,40,/fuːd/,n.食物，食品，养料,diet / eating / nourishment,The restaurant serves good food at affordable prices.,那家餐厅物美价廉。,CET4_2
46,could,146,45,/kəd; kʊd/,aux.v(can的过去式),,,,CET4_2
47,university,140,34,/juːnɪ'vɜːsɪtɪ/,n.(综合)大学,college / campus,He teaches Esperanto at that university.,他在那所大学教世界语。,KaoYan_1
48,live,139,49,/laɪv；lɪv/,v.居住；活  adj.活的,telling / vivid / vigorous / energetic / spend,He lives just across the street from me.,他就住在我街对面。,CET4_2
49,research,138,43,/rɪ'sɜːtʃ; 'riːsɜːtʃ/,n.研究；调查  v.研究；调查,investigation / study / probe / indagation / probe,Gould was helped in his researches by local naturalists.,古尔德在研究过程中得到了当地博物学家的帮助。,GaoZhong_2
50,much,137,49,/mʌtʃ/,adv.非常，很  adj.许多的,badly / extremely / greatly / quite / highly,The day ended much as it began.,这一天结束时还像开始时一样。,CET4_2
51,end,136,53,/end/,n.目标，目的,completion / death / target / goal / object,She’ll do anything to achieve her own ends.,她为了实现自己的目标，什么都会去做。,CET6_2
52,high,136,40,/haɪ/,adj.高的；高级的  adv.高,tall / senior / advanced / lofty / heaven,This is the highest mountain in Japan.,这是日本最高的山。,CET4_2
53,feel,134,50,/fiːl/,v.摸起来,expect / count / guess / find / make,It’s nice fabric - it feels like velvet.,面料不错——摸上去像丝绒。,CET6_2
54,problem,134,44,/'prɒbləm/,n.问题；习题，问题,conundrum / puzzler / debatable / stubborn,"She was older than me, but that wasn’t really a problem.",她比我年长，不过那不算什么问题。,CET4_2
55,school,132,30,/skuːl/,n.学校；学院；学派；鱼群  v.教育,academy / college / breed / to educate,His mother always used to pick him up from school.,他母亲以前一直去学校接他。,GaoZhong_2
56,country,132,35,/'kʌntrɪ/,n.国家，国土；农村,nation / state / soil / hometown / rural,the Scandinavian countries,斯堪的纳维亚国家,CET4_2
57,different,132,48,/'dɪf(ə)r(ə)nt/,adj.差异的；各种的,diverse / unlike / unusual / individual / varying,The place looks completely different now.,这地方现在完全变了。,CET4_2
58,come,131,50,/kʌm/,v.来，来到；出现,occur / happen / proceed / become / figure,Let me know when they come.,他们来了就告诉我。,CET4_2
59,technology,128,37,/tek'nɒlədʒi/,n.工艺学； 工艺， 技术,science / mechanics / skill,Modern technology makes moving money around much easier than it used to be.,现代科技使货币流动比以前便捷得多。,CET4_3
60,job,126,39,/dʒɒb/,n.职业；工作；零活,profession / employment / career / pursuit / work,Do you enjoy your job?,你喜欢自己的工作吗？,CET4_2
61,develop,124,44,/dɪ'veləp/,v.使（底片）显影,exploit / open up / grow / flower,Did you ever get the pictures developed ?,你到底有没有把照片冲洗出来？,CET6_2
62,show,122,50,/ʃəʊ/,v.显示；说明；演出；展出  n.显示；表演；炫耀,reveal / make clear / prove / say / make clear,"The man grinned, showing bad teeth.",那男人咧着嘴笑，露出一口坏牙。,GaoZhong_2
63,parent,122,28,/'peər(ə)nt/,n.父亲，母亲，双亲,father / principle / root,Children under 14 should be accompanied by a parent.,14 岁以下儿童须由一位家长陪同。,CET4_2
64,require,120,55,/ri'kwaiə/,v.要求，命令,lack / exact / desire / order / command,Campbell’s broken leg will probably require surgery.,坎贝尔的一条腿骨折，可能需要手术。,CET4_1
65,great,119,50,/greɪt/,adj.大的；伟大的,important / wonderful / excellent / famous / significant,The movie was a great success.,这部影片大获成功。,CET4_2
66,company,118,40,/'kʌmp(ə)nɪ/,n.公司，商号；同伴,corporation / establishment / firm / incorporation / travel,Which company do you work for?,你在哪家公司上班？,CET4_2
67,data,117,30,/'deɪtə/,n.数据;  n.资料,,The research involves collecting data from two random samples.,该项研究需要从两个随机样本里收集资料。,CET4_2
68,author,117,44,/'ɔːθə/,n.创造者，创始人,writer / pen,the author of the state reforms,州政府改革的发起者,CET6_2
69,increase,117,47,/ɪn'kriːs/,vt&vi&n.增加,enhancement / growth / gain / raising / advance,The population increased dramatically in the first half of the century.,该世纪上半叶，人口大幅度增加。,CET4_2
70,often,116,48,/'ɒf(tə)n/,adv.经常，常常,forever / frequently / always / oft,She often works at the weekend.,她周末经常要上班。,CET4_2
71,experience,116,45,/ɪk'spɪərɪəns; ek-/,n.经验，感受；经历,areer / suffer / live / undergo,"The advice in the booklet reflects the practical experience we have gained (= experience gained by actually doing something, rather than knowledge from books etc ).",小册子中的建议反映了我们所获得的实践经验。,CET4_2
72,information,115,41,/ɪnfə'meɪʃ(ə)n/,n.消息，信息；通知,feedback / advice / notice / knowledge of / cognition,I need more information.,我需要更多信息。,CET4_2
73,government,113,29,"/'gʌv(ə)n,m(ə)nt; 'gʌvəm(ə)nt/",n.政府；治理；政治,regime / presidency,The Government are planning further cuts in public spending.,政府正计划进一步削减公共支出。,CET4_2
74,speak,109,51,/spiːk/,v.说话；演讲；表明；陈述,tongue / fack / take the floor / to address,I was so shocked I couldn’t speak.,我震惊得说不出话来。,KaoYan_2
75,science,109,27,/'saɪəns/,n.科学；技术；学科；理科,technology / mechanics / skill / knowledge / discipline,Many leading scientists do not consider that science can give absolutely reliable knowledge.,许多杰出科学家都不认为科学能够提供绝对可靠的知识。,KaoYan_2
76,essay,108,56,/'eseɪ/,n.散文，文章,attempt / prose / sample / have a try,We asked Jason to write an essay about his hometown.,我们让杰森写一篇关于他家乡的短文。,CET4_1
77,without,108,43,/wɪˈðaʊt/,prep.没有；超过；在…外面  adv.户外；在外面；没有或不显示某事物  n.外部；外面,beyond / above / than / outside / ectad,After the storm we were without electricity for five days.,暴风雨之后我们断电了五天。,GaoZhong_2
78,thing,107,45,/θɪŋ/,n.事情；东西；事物；情况,business / situation / circumstance / stuff / affair,People say things they don’t mean when they are angry.,人生气时就会口不择言。,GaoZhong_2
79,might,106,34,/maɪt/,v.aux可能，会，也许,strength / force / muscle / power / influence,"If you need more information, you might try the Internet.",如果你需要更多的信息，可以试试因特网。,CET4_2
80,state,105,37,/steɪt/,n.状态， 情况；国， 州  vt.陈述， 说明；规定,nation / country / soil / define / regulate,She was in an extremely confused state of mind .,她思绪纷乱。,KaoYan_3
81,product,104,27,/'prɒdʌkt/,n.产品，产物；(乘)积,outcome / event / result / manufacture / writing,The London factory assembles the finished product .,伦敦工厂组装成品。,CET4_2
82,try,104,47,/traɪ/,v.试图，努力；试验；审判；考验  n.尝试；努力；试验,apply oneself / undertake / offer / proof / experiment,Let’s have a rest and then we’ll try again.,我们休息一下，然后再试。,GaoZhong_2
83,begin,104,44,/bɪ'gɪn/,v.开始  v.开始,institute / initiate / start in / lead off / to box,"As everybody’s here, let’s begin.",大家都到齐了，我们就开始吧。,CET4_2
84,see,104,45,/siː/,v.看见；理解；领会  n.(See)人名；(英)西伊；(柬)塞；(德)泽,absorb / appreciate / read / grasp / seize,"The moment we saw the house, we knew we wanted to buy it.",我们一看到这房子就知道我们要买。,GaoZhong_2
85,example,103,43,/ɪg'zɑːmp(ə)l; eg-/,n.例子，实例；模范,mirror / lead / sample / illustrate,"Many countries, for example Mexico and Japan, have a lot of earthquakes.",许多国家，例如墨西哥和日本，经常发生地震。,CET4_2
86,woman,103,23,/'wʊmən/,n.(pl.）women妇女，成年女子,gentle sex / weaker sex,I was talking to a woman I met on the flight.,我正和一个在飞机上认识的女子交谈。,KaoYan_1
87,benefit,102,46,/'benɪfɪt/,vi.得益  n.利益，恩惠；救济金，保险金，津贴  vt.有益于,behalf / sake / profit / advantage / plus,They are working together to benefit the whole community.,他们在为整个社区的利益共同努力。,CET6_3
88,know,102,41,/nəʊ/,v.知道；认识；通晓,weet / be aware of / wise / understand / make sure,Who knows the answer?,谁知道答案？,CET4_2
89,health,102,34,/helθ/,n.健康，健康状况,fitness / hygiene / wellness,I’m worried about my husband’s health.,我担心我丈夫的健康状况。,CET4_2
90,place,101,44,/pleɪs/,n.地方，地点；住所,district / seat / install / constitute / park,Make sure you keep the key in a safe place.,一定要把钥匙放在安全的地方。,CET4_2
91,likely,97,42,/'laɪklɪ/,adj.可能的  adv.很可能,applicable / becoming / shaped / possible / promising,Snow showers are likely tomorrow.,明天可能有阵雪。,CET4_2
92,understand,96,43,/ʌndə'stænd/,v.理解；懂；获悉；推断；省略,see / absorb / read / seize / conclude,She doesn’t understand English.,她不懂英语。,KaoYan_2
93,others,96,39,/ˈʌðəz/,pron.其他人；别的东西,,Some people like tea; others prefer coffee.,有些人喜欢茶，另一些人则偏爱咖啡。,manual
94,mean,96,39,/miːn/,v.作…解释；意指,poor / average / base / dirty / feel like,"""Credible"" means ""believable.""",的意思是。,CET4_2
95,college,96,27,/'kɒlɪdʒ/,n.学院；大学,university / academy / campus / school,a teacher training college,师范学院,CET4_2
96,public,94,30,/'pʌblɪk/,adj.公众的  n.公众,governmental / commonable / society / ambiente,We have to show that publishing this story is in the public interest (= helpful or useful to ordinary people ) .,我们必须证明刊登这篇报道有利于公众。,CET4_2
97,employee,93,20,/emplɒɪ'iː; em'plɒɪiː; ɪm-/,n.受雇者，雇员，雇工,hireling,a government employee,政府雇员,CET4_2
98,provide,93,43,/prə'vaɪd/,v.提供；装备，供给,afford / define / regulate / tender / state,Tea and biscuits will be provided.,有茶水和饼干供应。,CET4_2
99,keep,92,43,/kiːp/,v.保持；坚持,retain / operate / run / respect / work,The noise kept him awake.,噪音使他一直醒着。,CET4_2
100,least,91,58,/liːst/,adj.最少的  adv.最少,lowest / minimum / smallest,I try to offend the least amount of people possible.,我尽可能少得罪人。,CET4_2
101,business,91,36,/ˈbɪznɪs/,n.商业，生意；事务,commerce / thing / trade / affair / truck,Students on the course learn about all aspects of business.,这门课程的学生要学习商业活动的各个方面。,CET4_2
102,first,91,40,/fɜːst/,num.第一  adv.最初,primarily / soon / initially / rather / threshold,These results are firsts in the history of women’s athletics.,这些成绩在女运动员历史上是第一次。,CET4_2
103,pay,90,35,/peɪ/,v.支付；付给；给予,replace / foot / tender / shell out / repay,How would you like to pay?,你想怎么付款？,CET4_2
104,well,89,45,/wel/,adv.很好地；充分地；满意地；适当地  adj.良好的；健康的；适宜的  n.井；源泉  v.涌出,fully / properly / fine / adequately / wide,Did you sleep well?,你睡得好吗？,GaoZhong_2
105,around,89,45,/ə'raʊnd/,prep.在…周围,approximately / everywhere / throughout / something / round,What an inspiration she was to all around her!,她对于她周围所有的人是一种多么大的鼓舞!,CET4_2
106,want,88,37,/wɒnt/,n.需要；缺乏,ask / would have / claim / necessity / shortage,The gallery closed down for want of funding.,那家画廊由于缺乏资金关闭了。,CET4_2
107,start,87,41,/stɑːt/,v.开动，着手；开设,institute / initiate / leave / set out / go forth into,There’s so much to do. I don’t know where to start.,有那么多的事情要做，我都不知道从哪里开始。,CET6_2
108,family,87,38,/'fæmɪlɪ; -m(ə)l-/,n.家，家庭；家族,household / folk / race / household / domestic,Do you know the family next door?,你认识隔壁那家人吗？,CET4_2
109,create,86,41,/kriː'eɪt/,v.创造；引起，产生,produce / invent,Some people believe the universe was created by a big explosion.,有些人认为宇宙是通过一次大爆炸创造出来的。,CET4_2
110,whether,86,33,/'weðə/,conj.是否；不论  pron.两个中的哪一个,if,Maurice asked me whether I needed any help.,莫里斯问我是否需要帮助。,GaoZhong_2
111,behavior,86,26,/bɪ'heɪvjə/,n.行为， 举止， 表现,dealing / going / reaction / response / bearing,,,CET6_3
112,large,85,38,/lɑːdʒ/,adj.大的；巨大的,big / most / greatly / tall / big,Los Angeles is the second largest city in the US.,洛杉矶是美国的第二大城市。,CET4_2
113,cost,85,35,/kɒst/,n.价格，代价；成本,invested / spend / expend / fee / charge,I offered to pay the cost of the taxi.,我提出支付出租车费。,CET4_2
114,animal,85,24,/'ænɪm(ə)l/,n.动物，兽  adj.动物的,creature / zoon,furry little animals,毛茸茸的小动物,CET4_2
115,share,85,30,/ʃeə/,v.分享，分担；分配  n.份额；股份,participate in / portion / partake / stock / lot,As a kid he’d never share his toys.,他小时候从不肯与人分享他的玩具。,KaoYan_2
116,education,84,30,/edjʊ'keɪʃ(ə)n/,n.教育；训导；教育学,cultivation / training / pedagogy,She also hopes her children will get a good education.,她也希望她的孩子可以受到良好的教育。,CET4_2
117,play,83,44,/pleɪ/,v.玩，游戏；演奏,sport / broadcast / put on / perform on / game,Kids were playing and chasing each other.,孩子们在互相追逐嬉闹。,CET4_2
118,ten,83,50,/ten/,num.十个，十  n.(Ten)人名；(英)坦恩；(意)泰恩；(柬)登,,Snow had been falling steadily for ten days.,雪已经连续下了10天了。,GaoZhong_2
119,cause,83,43,/kɔːz/,n.原因，理由；事业,career / consideration / enterprise / matter / target,It’s our job to establish the cause of the fire.,查明起火原因是我们的责任。,CET4_2
120,climate,82,25,/'klaɪmət/,n.气候； 风土， 地带； 风气， 气氛,weather / terroir,Los Angeles’ warm dry climate,洛杉矶温暖干燥的气候,CET6_3
121,impact,81,41,/'ɪmpækt/,n.影响,affect / influence / reach / work on / strike,They say they expect the meeting to have a marked impact on the future of the country.,他们说期望这次会议对国家的未来产生显著的影响。,CET6_1
122,lead,81,47,/liːd/,n.铅，铅制品,guidance / mirror / example / aim / officer,,,CET4_2
123,scientist,81,31,/'saɪəntɪst/,n.科学家,,Scientists say they've already collected more data than had been expected.,科学家们说他们已经搜集到比预期更多的数据。,KaoYan_2
124,interest,80,41,/'ɪnt(ə)rɪst/,n.兴趣；利益；利息,like / fond of,"I watched the first few episodes, but soon lost interest.",我看了前几集，但很快就失去了兴趣。,CET4_2
125,environment,80,40,/ɪn'vaɪrənmənt/,n.环境； 外界； 围绕,context / circumstance / setting / surrounding / condition,Some of these chemicals are very damaging to the environment.,这些化学品中有些对环境非常有害。,CET6_3
126,skill,80,30,/skɪl/,n.技能，技巧；本领，技术,technique / science / mechanics / tips / accomplishment,Reading and writing are two different skills.,阅读和写作是两种不同的技能。,GaoZhong_2
127,day,80,35,/deɪ/,n.(一)天，白昼，白天,period / season / page / day-to-day,She only leaves her house during the day.,她只在白天出门。,CET4_2
128,hard,79,37,/hɑːd/,adj.（酒）烈性的,difficult / severe / fierce / tight / violent,hard liquor,烈酒,CET6_2
129,ability,79,39,/ə'bɪlɪtɪ/,n.能力；能耐，本领,capacity / competence / talent / quality / power,The test measures your mathematical ability.,这种测试考查的是数学能力。,CET4_2
130,researcher,79,31,/rɪ'sɜ:tʃə/,n.研究员,boffin,The Cloud Mouse is a project of Microsoft researcher Richard Harper and his collaborators at Microsoft Research Asia.,云鼠标是微软研究员理查德哈珀和他的合作者在微软亚洲研究院的一个项目 。,Level8_2
131,improve,79,36,/ɪm'pruːv/,v.使更好  v.改善,further / build up / gain / accelerate / grow in,a course for students wishing to improve their English,为想提高英语水平的学生开设的一门课,CET4_2
132,look,78,40,/lʊk/,v.看，显得  n.看,watching / take care of / behold / face / take care of,We sneaked out while Jessie’s mom wasn’t looking.,我们趁杰茜的妈妈没有看到，偷偷地溜了出去。,CET4_2
133,number,78,44,/'nʌmbə/,v.共计，达…之数,figure / arithmetic / digital / control No. / code name,The crowd numbered more than a thousand.,聚集的人群共计一千多人。,CET6_2
134,listen,77,56,/'lɪs(ə)n/,v.听，留神听；听从,hear / hark / ear,Listen! There’s a strange noise in the engine.,听！引擎发出奇怪的声音。,CET4_2
135,include,77,39,/ɪn'kluːd/,v.包含,involve / contain / comprise,Does the price include postage?,这个价格包含邮费吗？,CET4_1
136,robot,77,11,/'rəʊbɒt/,n.机器人；自动机,droid / golem,cars built by robots,机器人制造的汽车,CET4_2
137,important,77,45,/ɪm'pɔːt(ə)nt/,adj.重要的；有势力的,crucial / considerable / material / big / significant,a very important meeting,很重要的会议,CET4_2
138,focus,77,40,/'fəukəs/,v.聚焦；集中  n.焦点， 中心,center / hub / fairness / centralize / concentrate,His eyes were focussed straight ahead.,他的双眼盯着正前方。,CET6_3
139,grow,76,39,/grəʊ/,v.生长；变得；增长,expand / go way / crop / plant,You’ve really grown since I last saw you.,你比我上次见到时长了不少啊。,CET4_2
140,idea,76,35,/aɪ'dɪə/,n.想法；思想；意见,concept / notion / construct / think,You should talk to Ken – he's always full of good ideas.,你应该和肯谈谈，他总是满脑子好主意。,CET4_2
141,build,76,34,/bɪld/,v.建筑；建立；创立,establish / found / constitute / engineer / put up,The purpose is to build new houses for local people.,目的是要为当地居民建造新的住宅。,CET4_2
142,worker,74,29,/'wɜːkə/,n.工人；劳动者；职蚁,laborer / factory hand,the workers’ revolution,工人阶级革命,GaoZhong_2
143,city,74,20,/'sɪtɪ/,n.城市，都市,Cities / ciudad / urban,The nearest big city was St. Louis.,最近的大城市是圣路易斯。,CET4_2
144,space,74,17,/speɪs/,n.空间；太空；距离  v.留间隔,separation / vacuum / room / distance / remove,How much space is there on each disk?,每张磁盘有多大容量？,KaoYan_2
145,young,73,30,/jʌŋ/,adj.年轻的；初期的；没有经验的  n.年轻人；（动物的）崽，仔,earlier / youthful / stripling / sapling,a young child,幼儿,GaoZhong_2
146,accord,73,41,/ə'kɔːd/,n.符合；协议,agreement / unity / identity / keeping / consensus,These results are in accord with earlier research.,这些结果和先前的研究一致。,CET6_2
147,future,73,37,/'fjuːtʃə/,n.将来，未来；前途,tomorrow / prospect / prospective / ulterior,The islands should have the right to decide their own future.,这些岛屿应当有权决定自己的未来。,CET4_2
148,area,73,32,/'eərɪə/,n.面积；地区；领域,district / region / extent / boundary / spectrum,Only cheeses made in this area may be labelled ‘Roquefort.’,只有这个地区出产的干酪才能被称作“罗克福尔干酪”。,CET4_2
149,teacher,73,12,/'tiːtʃə/,n.教师；导师,professor / master,a primary school teacher,小学教师,KaoYan_2
150,set,72,41,/set/,n.集（合）,device / apparatus / installation / assembly / tendency,"The set (x, y) has two members.","（x, y）这个集里有两个项。",CET6_2
151,brain,72,23,/breɪn/,n.脑，脑髓；脑力,intelligence / mind / mentality,Messages from the brain are carried by the central nervous system.,大脑发出的信息是通过中枢神经系统传递的。,CET4_2
152,economic,71,18,/ˌiːkə'nɒmɪk/,adj.经济的；经济学的  n.经济学； 经济状况,,Economic growth is slow.,经济增长缓慢。,CET6_3
153,another,71,40,/ə'nʌðə/,adj.再一个的；别的,different / diverse / other / unlike / varying,Can you cite another case like this one?,你能举出另一个像这样的例子吗?,CET4_2
154,energy,71,20,/'enədʒɪ/,n.活力；精力；能,vitality / spirit / soul / mind / spring,The water is heated using energy from the sun.,水是利用太阳能加热的。,CET4_2
155,group,71,31,/gruːp/,n.小组，群  v.聚集,organization / community / team / body / suit,A group of us are going to London.,我们有一群人要去伦敦。,CET4_2
156,report,71,36,/rɪ'pɔːt/,n.传说，议论,advisory / rept / cover / give notice to / message,Government officials have denied reports of rebel advances.,政府官员否认了有关叛军正在推进的传言。,CET6_2
157,level,71,32,/'lev(ə)l/,n.水平面  adj.水平的,criterion / standard / norms / prototype / horizontal,Inflation fell to its lowest level in 30 years.,通货膨胀降至30年来最低点。,CET4_2
158,believe,70,37,/bɪ'liːv/,v.相信；认为,trust on / suppose / expect / count / guess,You shouldn’t believe everything you read.,你不应尽信书上看来的东西。,CET4_2
159,effect,69,38,/ɪ'fekt/,n.影响,impression / influence / infection / affection / impact,the long-term effects of the drug,这种毒品的长期影响,CET4_1
160,turn,69,34,/tɜːn/,v.转动，使旋转；转弯；翻过来；兑换  n.转弯；变化；(损害或有益于别人的)行为，举动，举止,wheel / roll / shift / roll / screw,Ricky turned and walked away.,里基转身走了。,KaoYan_2
161,plan,69,28,/plæn/,n&vt.计划，打算,scheme / programme / project / design / schedule,His plan is to get a degree in economics and then work abroad for a year.,他计划先取得经济学学位，然后去国外工作一年。,CET4_2
162,system,68,30,/'sɪstəm/,n.系统； 制度， 体制； 方法， 做法； 身体,institution / organization / method / approach / scheme,an alarm system,警报系统,CET4_3
163,risk,68,31,/rɪsk/,n.风险，危险，冒险,venture / throw / hazard,"It was a risk, sending a letter to my house.",将信寄到我家是冒险。,CET4_2
164,reduce,68,33,/rɪ'djuːs/,v.减少,shorten / weaken / to cut down / fall off,The governor announced a new plan to reduce crime.,州长宣布了一项降低犯罪率的新计划。,CET4_1
165,still,68,36,/stɪl/,adv.仍然；更；静止地  adj.静止的，不动的；寂静的，平静的；不起泡的  n.寂静；剧照；蒸馏室  conj.仍然；但是；尽管如此  v.蒸馏；使…静止；使…平静下来,toujours / statically / peaceful / pacific / quiet,I still haven’t finished painting the spare room.,我还没粉刷完那间空房间。,GaoZhong_2
166,talk,67,46,/tɔːk/,v.讲话  v.谈论,quo / tell / observe / debate / jerk chin music,I could hear Sarah and Andy talking in the next room.,我听到萨拉和安迪在隔壁讲话。,CET4_2
