one	/wʌn/<br>num.一  pron.一个人<br>例: They had one daughter. 他们有一个女儿。
show	/ʃəʊ/<br>v.显示；说明；演出；展出  n.显示；表演；炫耀<br>例: The man grinned, showing bad teeth. 那男人咧着嘴笑，露出一口坏牙。
parent	/'peər(ə)nt/<br>n.父亲，母亲，双亲<br>例: Children under 14 should be accompanied by a parent. 14 岁以下儿童须由一位家长陪同。
require	/ri'kwaiə/<br>v.要求，命令<br>例: Campbell’s broken leg will probably require surgery. 坎贝尔的一条腿骨折，可能需要手术。
great	/greɪt/<br>adj.大的；伟大的<br>例: The movie was a great success. 这部影片大获成功。
company	/'kʌmp(ə)nɪ/<br>n.公司，商号；同伴<br>例: Which company do you work for? 你在哪家公司上班？
data	/'deɪtə/<br>n.数据;  n.资料<br>例: The research involves collecting data from two random samples. 该项研究需要从两个随机样本里收集资料。
author	/'ɔːθə/<br>n.创造者，创始人<br>例: the author of the state reforms 州政府改革的发起者
increase	/ɪn'kriːs/<br>vt&vi&n.增加<br>例: The population increased dramatically in the first half of the century. 该世纪上半叶，人口大幅度增加。
often	/'ɒf(tə)n/<br>adv.经常，常常<br>例: She often works at the weekend. 她周末经常要上班。
experience	/ɪk'spɪərɪəns; ek-/<br>n.经验，感受；经历<br>例: The advice in the booklet reflects the practical experience we have gained (= experience gained by actually doing something, rather than knowledge from books etc ). 小册子中的建议反映了我们所获得的实践经验。
information	/ɪnfə'meɪʃ(ə)n/<br>n.消息，信息；通知<br>例: I need more information. 我需要更多信息。
government	/'gʌv(ə)n,m(ə)nt; 'gʌvəm(ə)nt/<br>n.政府；治理；政治<br>例: The Government are planning further cuts in public spending. 政府正计划进一步削减公共支出。
speak	/spiːk/<br>v.说话；演讲；表明；陈述<br>例: I was so shocked I couldn’t speak. 我震惊得说不出话来。
science	/'saɪəns/<br>n.科学；技术；学科；理科<br>例: Many leading scientists do not consider that science can give absolutely reliable knowledge. 许多杰出科学家都不认为科学能够提供绝对可靠的知识。
essay	/'eseɪ/<br>n.散文，文章<br>例: We asked Jason to write an essay about his hometown. 我们让杰森写一篇关于他家乡的短文。
without	/wɪˈðaʊt/<br>prep.没有；超过；在…外面  adv.户外；在外面；没有或不显示某事物  n.外部；外面<br>例: After the storm we were without electricity for five days. 暴风雨之后我们断电了五天。
thing	/θɪŋ/<br>n.事情；东西；事物；情况<br>例: People say things they don’t mean when they are angry. 人生气时就会口不择言。
might	/maɪt/<br>v.aux可能，会，也许<br>例: If you need more information, you might try the Internet. 如果你需要更多的信息，可以试试因特网。
state	/steɪt/<br>n.状态， 情况；国， 州  vt.陈述， 说明；规定<br>例: She was in an extremely confused state of mind . 她思绪纷乱。
product	/'prɒdʌkt/<br>n.产品，产物；(乘)积<br>例: The London factory assembles the finished product . 伦敦工厂组装成品。
try	/traɪ/<br>v.试图，努力；试验；审判；考验  n.尝试；努力；试验<br>例: Let’s have a rest and then we’ll try again. 我们休息一下，然后再试。
begin	/bɪ'gɪn/<br>v.开始  v.开始<br>例: As everybody’s here, let’s begin. 大家都到齐了，我们就开始吧。
see	/siː/<br>v.看见；理解；领会  n.(See)人名；(英)西伊；(柬)塞；(德)泽<br>例: The moment we saw the house, we knew we wanted to buy it. 我们一看到这房子就知道我们要买。
example	/ɪg'zɑːmp(ə)l; eg-/<br>n.例子，实例；模范<br>例: Many countries, for example Mexico and Japan, have a lot of earthquakes. 许多国家，例如墨西哥和日本，经常发生地震。
woman	/'wʊmən/<br>n.(pl.）women妇女，成年女子<br>例: I was talking to a woman I met on the flight. 我正和一个在飞机上认识的女子交谈。
benefit	/'benɪfɪt/<br>vi.得益  n.利益，恩惠；救济金，保险金，津贴  vt.有益于<br>例: They are working together to benefit the whole community. 他们在为整个社区的利益共同努力。
know	/nəʊ/<br>v.知道；认识；通晓<br>例: Who knows the answer? 谁知道答案？
health	/helθ/<br>n.健康，健康状况<br>例: I’m worried about my husband’s health. 我担心我丈夫的健康状况。
place	/pleɪs/<br>n.地方，地点；住所<br>例: Make sure you keep the key in a safe place. 一定要把钥匙放在安全的地方。
likely	/'laɪklɪ/<br>adj.可能的  adv.很可能<br>例: Snow showers are likely tomorrow. 明天可能有阵雪。
understand	/ʌndə'stænd/<br>v.理解；懂；获悉；推断；省略<br>例: She doesn’t understand English. 她不懂英语。
others	/ˈʌðəz/<br>pron.其他人；别的东西<br>例: Some people like tea; others prefer coffee. 有些人喜欢茶，另一些人则偏爱咖啡。
mean	/miːn/<br>v.作…解释；意指<br>例: "Credible" means "believable." 的意思是。
college	/'kɒlɪdʒ/<br>n.学院；大学<br>例: a teacher training college 师范学院
public	/'pʌblɪk/<br>adj.公众的  n.公众<br>例: We have to show that publishing this story is in the public interest (= helpful or useful to ordinary people ) . 我们必须证明刊登这篇报道有利于公众。
employee	/emplɒɪ'iː; em'plɒɪiː; ɪm-/<br>n.受雇者，雇员，雇工<br>例: a government employee 政府雇员
provide	/prə'vaɪd/<br>v.提供；装备，供给<br>例: Tea and biscuits will be provided. 有茶水和饼干供应。
keep	/kiːp/<br>v.保持；坚持<br>例: The noise kept him awake. 噪音使他一直醒着。
least	/liːst/<br>adj.最少的  adv.最少<br>例: I try to offend the least amount of people possible. 我尽可能少得罪人。
business	/ˈbɪznɪs/<br>n.商业，生意；事务<br>例: Students on the course learn about all aspects of business. 这门课程的学生要学习商业活动的各个方面。
first	/fɜːst/<br>num.第一  adv.最初<br>例: These results are firsts in the history of women’s athletics. 这些成绩在女运动员历史上是第一次。
pay	/peɪ/<br>v.支付；付给；给予<br>例: How would you like to pay? 你想怎么付款？
well	/wel/<br>adv.很好地；充分地；满意地；适当地  adj.良好的；健康的；适宜的  n.井；源泉  v.涌出<br>例: Did you sleep well? 你睡得好吗？
around	/ə'raʊnd/<br>prep.在…周围<br>例: What an inspiration she was to all around her! 她对于她周围所有的人是一种多么大的鼓舞!
want	/wɒnt/<br>n.需要；缺乏<br>例: The gallery closed down for want of funding. 那家画廊由于缺乏资金关闭了。
start	/stɑːt/<br>v.开动，着手；开设<br>例: There’s so much to do. I don’t know where to start. 有那么多的事情要做，我都不知道从哪里开始。
family	/'fæmɪlɪ; -m(ə)l-/<br>n.家，家庭；家族<br>例: Do you know the family next door? 你认识隔壁那家人吗？
create	/kriː'eɪt/<br>v.创造；引起，产生<br>例: Some people believe the universe was created by a big explosion. 有些人认为宇宙是通过一次大爆炸创造出来的。
whether	/'weðə/<br>conj.是否；不论  pron.两个中的哪一个<br>例: Maurice asked me whether I needed any help. 莫里斯问我是否需要帮助。
behavior	/bɪ'heɪvjə/<br>n.行为， 举止， 表现
large	/lɑːdʒ/<br>adj.大的；巨大的<br>例: Los Angeles is the second largest city in the US. 洛杉矶是美国的第二大城市。
cost	/kɒst/<br>n.价格，代价；成本<br>例: I offered to pay the cost of the taxi. 我提出支付出租车费。
animal	/'ænɪm(ə)l/<br>n.动物，兽  adj.动物的<br>例: furry little animals 毛茸茸的小动物
share	/ʃeə/<br>v.分享，分担；分配  n.份额；股份<br>例: As a kid he’d never share his toys. 他小时候从不肯与人分享他的玩具。
education	/edjʊ'keɪʃ(ə)n/<br>n.教育；训导；教育学<br>例: She also hopes her children will get a good education. 她也希望她的孩子可以受到良好的教育。
play	/pleɪ/<br>v.玩，游戏；演奏<br>例: Kids were playing and chasing each other. 孩子们在互相追逐嬉闹。
ten	/ten/<br>num.十个，十  n.(Ten)人名；(英)坦恩；(意)泰恩；(柬)登<br>例: Snow had been falling steadily for ten days. 雪已经连续下了10天了。
cause	/kɔːz/<br>n.原因，理由；事业<br>例: It’s our job to establish the cause of the fire. 查明起火原因是我们的责任。
climate	/'klaɪmət/<br>n.气候； 风土， 地带； 风气， 气氛<br>例: Los Angeles’ warm dry climate 洛杉矶温暖干燥的气候
impact	/'ɪmpækt/<br>n.影响<br>例: They say they expect the meeting to have a marked impact on the future of the country. 他们说期望这次会议对国家的未来产生显著的影响。
lead	/liːd/<br>n.铅，铅制品
scientist	/'saɪəntɪst/<br>n.科学家<br>例: Scientists say they've already collected more data than had been expected. 科学家们说他们已经搜集到比预期更多的数据。
interest	/'ɪnt(ə)rɪst/<br>n.兴趣；利益；利息<br>例: I watched the first few episodes, but soon lost interest. 我看了前几集，但很快就失去了兴趣。
environment	/ɪn'vaɪrənmənt/<br>n.环境； 外界； 围绕<br>例: Some of these chemicals are very damaging to the environment. 这些化学品中有些对环境非常有害。
skill	/skɪl/<br>n.技能，技巧；本领，技术<br>例: Reading and writing are two different skills. 阅读和写作是两种不同的技能。
day	/deɪ/<br>n.(一)天，白昼，白天<br>例: She only leaves her house during the day. 她只在白天出门。
hard	/hɑːd/<br>adj.（酒）烈性的<br>例: hard liquor 烈酒
ability	/ə'bɪlɪtɪ/<br>n.能力；能耐，本领<br>例: The test measures your mathematical ability. 这种测试考查的是数学能力。
researcher	/rɪ'sɜ:tʃə/<br>n.研究员<br>例: The Cloud Mouse is a project of Microsoft researcher Richard Harper and his collaborators at Microsoft Research Asia. 云鼠标是微软研究员理查德哈珀和他的合作者在微软亚洲研究院的一个项目 。
improve	/ɪm'pruːv/<br>v.使更好  v.改善<br>例: a course for students wishing to improve their English 为想提高英语水平的学生开设的一门课
look	/lʊk/<br>v.看，显得  n.看<br>例: We sneaked out while Jessie’s mom wasn’t looking. 我们趁杰茜的妈妈没有看到，偷偷地溜了出去。
number	/'nʌmbə/<br>v.共计，达…之数<br>例: The crowd numbered more than a thousand. 聚集的人群共计一千多人。
listen	/'lɪs(ə)n/<br>v.听，留神听；听从<br>例: Listen! There’s a strange noise in the engine. 听！引擎发出奇怪的声音。
include	/ɪn'kluːd/<br>v.包含<br>例: Does the price include postage? 这个价格包含邮费吗？
robot	/'rəʊbɒt/<br>n.机器人；自动机<br>例: cars built by robots 机器人制造的汽车
important	/ɪm'pɔːt(ə)nt/<br>adj.重要的；有势力的<br>例: a very important meeting 很重要的会议
focus	/'fəukəs/<br>v.聚焦；集中  n.焦点， 中心<br>例: His eyes were focussed straight ahead. 他的双眼盯着正前方。
grow	/grəʊ/<br>v.生长；变得；增长<br>例: You’ve really grown since I last saw you. 你比我上次见到时长了不少啊。
idea	/aɪ'dɪə/<br>n.想法；思想；意见<br>例: You should talk to Ken – he's always full of good ideas. 你应该和肯谈谈，他总是满脑子好主意。
build	/bɪld/<br>v.建筑；建立；创立<br>例: The purpose is to build new houses for local people. 目的是要为当地居民建造新的住宅。
worker	/'wɜːkə/<br>n.工人；劳动者；职蚁<br>例: the workers’ revolution 工人阶级革命
city	/'sɪtɪ/<br>n.城市，都市<br>例: The nearest big city was St. Louis. 最近的大城市是圣路易斯。
space	/speɪs/<br>n.空间；太空；距离  v.留间隔<br>例: How much space is there on each disk? 每张磁盘有多大容量？
young	/jʌŋ/<br>adj.年轻的；初期的；没有经验的  n.年轻人；（动物的）崽，仔<br>例: a young child 幼儿
accord	/ə'kɔːd/<br>n.符合；协议<br>例: These results are in accord with earlier research. 这些结果和先前的研究一致。
future	/'fjuːtʃə/<br>n.将来，未来；前途<br>例: The islands should have the right to decide their own future. 这些岛屿应当有权决定自己的未来。
area	/'eərɪə/<br>n.面积；地区；领域<br>例: Only cheeses made in this area may be labelled ‘Roquefort.’ 只有这个地区出产的干酪才能被称作“罗克福尔干酪”。
teacher	/'tiːtʃə/<br>n.教师；导师<br>例: a primary school teacher 小学教师
set	/set/<br>n.集（合）<br>例: The set (x, y) has two members. （x, y）这个集里有两个项。
brain	/breɪn/<br>n.脑，脑髓；脑力<br>例: Messages from the brain are carried by the central nervous system. 大脑发出的信息是通过中枢神经系统传递的。
economic	/ˌiːkə'nɒmɪk/<br>adj.经济的；经济学的  n.经济学； 经济状况<br>例: Economic growth is slow. 经济增长缓慢。
another	/ə'nʌðə/<br>adj.再一个的；别的<br>例: Can you cite another case like this one? 你能举出另一个像这样的例子吗?
energy	/'enədʒɪ/<br>n.活力；精力；能<br>例: The water is heated using energy from the sun. 水是利用太阳能加热的。
group	/gruːp/<br>n.小组，群  v.聚集<br>例: A group of us are going to London. 我们有一群人要去伦敦。
report	/rɪ'pɔːt/<br>n.传说，议论<br>例: Government officials have denied reports of rebel advances. 政府官员否认了有关叛军正在推进的传言。
level	/'lev(ə)l/<br>n.水平面  adj.水平的<br>例: Inflation fell to its lowest level in 30 years. 通货膨胀降至30年来最低点。
believe	/bɪ'liːv/<br>v.相信；认为<br>例: You shouldn’t believe everything you read. 你不应尽信书上看来的东西。
effect	/ɪ'fekt/<br>n.影响<br>例: the long-term effects of the drug 这种毒品的长期影响
turn	/tɜːn/<br>v.转动，使旋转；转弯；翻过来；兑换  n.转弯；变化；(损害或有益于别人的)行为，举动，举止<br>例: Ricky turned and walked away. 里基转身走了。
plan	/plæn/<br>n&vt.计划，打算<br>例: His plan is to get a degree in economics and then work abroad for a year. 他计划先取得经济学学位，然后去国外工作一年。
system	/'sɪstəm/<br>n.系统； 制度， 体制； 方法， 做法； 身体<br>例: an alarm system 警报系统
risk	/rɪsk/<br>n.风险，危险，冒险<br>例: It was a risk, sending a letter to my house. 将信寄到我家是冒险。
reduce	/rɪ'djuːs/<br>v.减少<br>例: The governor announced a new plan to reduce crime. 州长宣布了一项降低犯罪率的新计划。
still	/stɪl/<br>adv.仍然；更；静止地  adj.静止的，不动的；寂静的，平静的；不起泡的  n.寂静；剧照；蒸馏室  conj.仍然；但是；尽管如此  v.蒸馏；使…静止；使…平静下来<br>例: I still haven’t finished painting the spare room. 我还没粉刷完那间空房间。
talk	/tɔːk/<br>v.讲话  v.谈论<br>例: I could hear Sarah and Andy talking in the next room. 我听到萨拉和安迪在隔壁讲话。
goal	/gəʊl/<br>n.球门；得分；目的<br>例: Your goal as a parent is to help your child become an independent adult. 身为父母，你的目标就是要培养孩子成为独立的成年人。
issue	/'ɪʃuː/<br>v.发行； 分发， 发出  n.问题；发行；分发<br>例: Silva issued a statement denying all knowledge of the affair. 西尔瓦发表声明，宣称对此事一无所知。
medium	/'miːdiəm/<br>adj.中等的  n.媒质，媒介物；传导体<br>例: What size shirt does he wear – small, medium or large? 他穿多大尺码的衬衫——小号、中号还是大号？
teach	/tiːtʃ/<br>v.教；教授；教导  n.(Teach)人名；(英)蒂奇<br>例: She taught me fractions and counting. 他教我分数和计算。
relationship	/rɪ'leɪʃ(ə)nʃɪp/<br>n.关系，联系<br>例: He’s never had a sexual relationship before. 他以前从未与人有过性关系。
late	/leɪt/<br>adj.去世不久的<br>例: Billy Hicks, late of this parish 不久前故去的本教区的比利·希克斯
something	/'sʌmθɪŋ/<br>pron.某事；某物  n.重要的人；值得重视的事  adv.非常；有点；大约  adj.大约；有点象<br>例: There’s something in my eye. 我眼睛里有什么东西。
attention	/ə'tenʃ(ə)n/<br>n.注意，留心；注意力<br>例: My attention wasn’t really on the game. 我的注意力其实不在比赛上。
however	/haʊ'evə/<br>adv.然而；不管怎样<br>例: This is a cheap and simple process. However, there are dangers. 这是个花钱少而又简单的方法，不过有危险。
call	/kɔːl/<br>v.把…叫做；叫，喊<br>例: You may call it harmless fun, but I call it pornography. 你可能会说这是无恶意的小玩笑，但是我却认为这是色情。
academic	/ˌækə'demɪk/<br>adj.学院的；学术的；纯理论的，不切实际的  n.大学教师<br>例: He possessed no academic qualifications. 他没有学历。
spend	/spend/<br>v.度过，消磨（时光）；花费；浪费；用尽  n.预算<br>例: I can’t afford to spend any more money this week. 这星期我没有能力花更多的钱了。
low	/ləʊ/<br>adj.低的，矮的；低下的<br>例: Their safety standards seem to be pretty low. 他们的安全标准似乎相当低。
carefully	/'keəfəlɪ/<br>adv.小心地<br>例: He folded the sheets up carefully. 他把床单仔细地叠好。
recent	/'riːs(ə)nt/<br>adj.新近的，最近的<br>例: Irving’s most recent book 欧文最新的书
result	/rɪ'zʌlt/<br>vi.发生； 结果  n.结果；成果；比分<br>例: How would you cope with unemployment and the resulting loss of income? 你会如何应付失业及由此造成的收入损失？
language	/'læŋgwɪdʒ/<br>n.语言，语言课程<br>例: How many languages do you speak? 你能说几种语言？
market	/'mɑːkɪt/<br>v.推销<br>例: If you could ever figure out how to market this you’d make a fortune. 如果能想出办法来推销这个东西，你就发财了。
view	/vju:/<br>v.看待<br>例: an opportunity to view the film before it goes on general release 在影片公映之前观影的机会
offer	/'ɒfə/<br>v.出现<br>例: I’ll raise the subject when a suitable occasion offers itself. 等有合适的机会，我会把这件事提出来的。
meet	/miːt/<br>v.遇见  v.相遇<br>例: You’ll never guess who I met in town. 你绝对猜不出我在镇上碰到谁了。
early	/'ɜːlɪ/<br>adv.早  adj.早的，早期的<br>例: We arrived early. 我们提早到了。
farm	/fɑːm/<br>n.农场，农庄；饲养场<br>例: a 300-hectare farm 一座300公顷的农场
translate	/træns'leɪt; trɑːns-; -nz-/<br>v.翻译；转化；解释；转变为；调动<br>例: Poetry doesn’t usually translate well. 诗歌通常都译不好。
possible	/'pɒsɪb(ə)l/<br>adj.可能的；可能存在的<br>例: Is it possible toget tickets for the game? 有没有可能弄到比赛的门票？
lot	/lɒt/<br>n.许多，大量；签，阄<br>例: We’ve spent a lot on the children’s education. 我们在孩子的教育上花费甚多。
person	/'pɜːs(ə)n/<br>n.人；人身；本人<br>例: He was a very nice person, always pleasant and friendly. 他是个很好的人，始终彬彬有礼。
sense	/sens/<br>n.感官;感觉;判断力;意义  v.觉得,意识到<br>例: Cats have a very acute sense of hearing (= very good, so that they can hear even the smallest sound ) . 猫的听觉非常敏锐。
right	/raɪt/<br>adj.正确的；直接的；右方的  v.复正；恢复平稳  n.正确；右边；正义  adv.正确地；恰当地；彻底地<br>例: Yes, that’s the right answer . 对，回答正确。
money	/'mʌnɪ/<br>n.货币；金钱，财富<br>例: Don’t spend all your money on the first day of your holiday! 别在度假的第一天就把钱都花完了！
rather	/'rɑːðə/<br>adv.宁可，宁愿；相当<br>例: I grew up in rather unusual circumstances. 我在相当不寻常的环境中长大。
among	/ə'mʌŋ/<br>prep.在…之中<br>例: The girl quickly disappeared among the crowd. 女孩转眼消失在人群中。
society	/sə'saɪətɪ/<br>n.社会；交往；社团；社交界<br>例: technology and its effects on modern society 科技及其对现代社会的影响
put	/pʊt/<br>v.放，摆；使处于<br>例: He put the coffee on the table. 他把咖啡放在桌上。
industry	/'ɪndəstrɪ/<br>n.工业，产业；勤劳<br>例: I work in the oil industry. 我在石油行业工作。
personal	/'pɜːs(ə)n(ə)l/<br>adj.个人的；本人的<br>例: My personal view is that we shouldn’t offer him the job. 我个人认为我们不该给他这份工作。
last	/lɑːst/<br>adj.最后的  adv.最后<br>例: Much has changed since my last visit. 自我上次来访后，变化很大。
natural	/'nætʃ(ə)r(ə)l/<br>adj.自然界的；天然的<br>例: the study of the natural world 对自然界的研究
care	/keə/<br>v.关心，介意  n.小心<br>例: She felt that nobody cared. 她觉得没有人在乎。
little	/'lɪt(ə)l/<br>adj.小的；少；幼小的<br>例: a little house 小屋
price	/praɪs/<br>n.价格，价钱；代价<br>例: They may pay a high price for their few years of glory. 为了短短几年的辉煌，他们也许要付出高昂的代价。
value	/'væljuː/<br>v.尊重，重视；估价<br>例: Shelley valued her privacy. 谢利很重视自己的隐私。
happen	/'hæp(ə)n/<br>v.发生；碰巧，恰好<br>例: When did the accident happen? 事故什么时候发生的？
small	/smɔːl/<br>adj.少的，小的；微弱的；几乎没有的；不重要的；幼小的  adv.小小地；卑鄙地  n.小件物品；矮小的人<br>例: a small piece of paper 一小片纸
community	/kə'mjuːnəti/<br>n.社区， 社会， 公社； 团体， 界； 群落<br>例: The new arts centre will serve the whole community. 这座新的艺术中心将为整个社区服务。
list	/lɪst/<br>n.表，目录  n.列举<br>例: High on the list of public demands is to end military control of broadcasting. 高居公众要求事项前列的是结束对广播的军事控制。
seem	/siːm/<br>v.似乎；像是；装作  n.(Seem)人名；(英)西姆<br>例: Ann didn’t seem very sure. 安看来并不十分肯定。
program	/'prəʊɡræm/<br>v.计划，安排
fact	/fækt/<br>n.事实；实际，实情<br>例: Our decision to build the museum in Hartlepool was influenced by the fact that there were no national museums in the North East. 我们之所以决定在哈特尔浦建造博物馆，是因为东北地区没有国家级的博物馆。
tend	/tend/<br>v.照管，照料，护理<br>例: Sofia was in the bedroom tending to her son. 索菲娅在卧室里照料她的儿子。
design	/dɪ'zaɪn/<br>vt.设计；预定，指定  n.设计， 构想； 图样； 企图<br>例: The tower was designed by Gilbert Scott. 这座塔楼是吉尔伯特·斯科特设计的。
